Geography,Mean_ppb
Greenpoint and Williamsburg (CD1),31
Fort Greene and Brooklyn Heights (CD2),29.4
Bedford Stuyvesant (CD3),30.6
Bushwick (CD4),31.7
East New York and Starrett City (CD5),32.9
Park Slope and Carroll Gardens (CD6),30
Sunset Park (CD7),31.2
Crown Heights and Prospect Heights (CD8),30.7
South Crown Heights and Lefferts Gardens (CD9),31.2
Bay Ridge and Dyker Heights (CD10),31.8
Bensonhurst (CD11),33.4
Borough Park (CD12),32
Coney Island (CD13),35.8
Flatbush and Midwood (CD14),32.3
Sheepshead Bay (CD15),34.8
Brownsville (CD16),32.1
East Flatbush (CD17),32.4
Flatlands and Canarsie (CD18),34.7
Long Island City and Astoria (CD1),31.8
Woodside and Sunnyside (CD2),31.6
Jackson Heights (CD3),31.5
Elmhurst and Corona (CD4),31.2
Ridgewood and Maspeth (CD5),32.1
Rego Park and Forest Hills (CD6),31.1
Flushing and Whitestone (CD7),31.9
Hillcrest and Fresh Meadows (CD8),31.3
Kew Gardens and Woodhaven (CD9),31.8
South Ozone Park and Howard Beach (CD10),33.1
Bayside and Little Neck (CD11),31.4
Jamaica and Hollis (CD12),32.2
Queens Village (CD13),32.6
Rockaway and Broad Channel (CD14),37.5
St. George and Stapleton (CD1),30.4
South Beach and Willowbrook (CD2),32.5
Tottenville and Great Kills (CD3),34.1
Kingsbridge - Riverdale,28.7
Northeast Bronx,29.9
Fordham - Bronx Pk,29.5
Pelham - Throgs Neck,31.4
Crotona -Tremont,29.6
High Bridge - Morrisania,29.9
Hunts Point - Mott Haven,31.7
Greenpoint,31
Downtown - Heights - Slope,29.8
Bedford Stuyvesant - Crown Heights,31.2
East New York,32.6
Sunset Park,31.3
Borough Park,32.1
East Flatbush - Flatbush,32.2
Canarsie - Flatlands,34.7
Bensonhurst - Bay Ridge,32.8
Coney Island - Sheepshead Bay,35
Williamsburg - Bushwick,31.1
Washington Heights,29
Central Harlem - Morningside Heights,29
East Harlem,29.6
Upper West Side,28.1
Upper East Side,28.1
Chelsea - Clinton,26.1
Gramercy Park - Murray Hill,25.1
Greenwich Village - SoHo,27.4
Union Square - Lower East Side,27.7
Lower Manhattan,27
Long Island City - Astoria,31.4
West Queens,31.6
Flushing - Clearview,31.9
Bayside - Little Neck,31.3
Ridgewood - Forest Hills,31.8
Fresh Meadows,31.5
Southwest Queens,32.6
Jamaica,32
Southeast Queens,32.5
Rockaways,37.4
Port Richmond,30
Stapleton - St. George,31.8
Willowbrook,31.7
South Beach - Tottenville,34.1
Kingsbridge - Riverdale,28.7
Northeast Bronx,29.9
Fordham - Bronx Pk,29.5
Pelham - Throgs Neck,31.4
Greenpoint,31
Downtown - Heights - Slope,29.8
Bedford Stuyvesant - Crown Heights,31.2
East New York,32.6
Sunset Park,31.3
Borough Park,32.1
East Flatbush - Flatbush,32.2
Canarsie - Flatlands,34.7
Bensonhurst - Bay Ridge,32.8
Coney Island - Sheepshead Bay,35
Williamsburg - Bushwick,31.1
Washington Heights,29
Central Harlem - Morningside Heights,29
East Harlem,29.6
Upper West Side,28.1
Long Island City - Astoria,31.4
West Queens,31.6
Flushing - Clearview,31.9
Ridgewood - Forest Hills,31.8
Southwest Queens,32.6
Jamaica,32
Southeast Queens,32.5
Rockaways,37.4
Upper East Side-Gramercy,26.7
Chelsea-Village  ,26.5
Union Square-Lower Manhattan,27.5
Bayside Little Neck-Fresh Meadows,31.4
Northern SI,31.2
Southern SI,33.2
South Bronx,30.6
Bronx,30.4
Brooklyn,32.5
Manhattan,27.8
Queens,32.4
Staten Island,32.6
New York City,31.8
Financial District (CD1),26.1
Greenwich Village and Soho (CD2),26.5
Lower East Side and Chinatown (CD3),27.3
Clinton and Chelsea (CD4),26.1
Midtown (CD5),21.8
Stuyvesant Town and Turtle Bay (CD6),24
Upper West Side (CD7),27.4
Upper East Side (CD8),26.6
Morningside Heights and Hamilton Heights (CD9),28.5
Central Harlem (CD10),28.6
East Harlem (CD11),29
Washington Heights and Inwood (CD12),29.7
Mott Haven and Melrose (CD1),30.5
Hunts Point and Longwood (CD2),31.6
Morrisania and Crotona (CD3),30.3
Highbridge and Concourse (CD4),29.8
Fordham and University Heights (CD5),29.7
Belmont and East Tremont (CD6),30.3
Kingsbridge Heights and Bedford (CD7),30.3
Riverdale and Fieldston (CD8),30.5
Parkchester and Soundview (CD9),31.3
Throgs Neck and Co-op City (CD10),32.5
Morris Park and Bronxdale (CD11),31.4
Williamsbridge and Baychester (CD12),31.4
Greenpoint and Williamsburg (CD1),30.5
Fort Greene and Brooklyn Heights (CD2),28.9
Bedford Stuyvesant (CD3),29.9
Bushwick (CD4),31
East New York and Starrett City (CD5),32.3
Park Slope and Carroll Gardens (CD6),29.7
Sunset Park (CD7),30.6
Crown Heights and Prospect Heights (CD8),29.8
South Crown Heights and Lefferts Gardens (CD9),30.3
Bay Ridge and Dyker Heights (CD10),30.7
Bensonhurst (CD11),31.5
Borough Park (CD12),30.6
Coney Island (CD13),33.2
Flatbush and Midwood (CD14),30.7
Sheepshead Bay (CD15),32.4
Brownsville (CD16),31.2
East Flatbush (CD17),31.2
Flatlands and Canarsie (CD18),33.1
Long Island City and Astoria (CD1),31.1
Woodside and Sunnyside (CD2),31
Jackson Heights (CD3),30.8
Elmhurst and Corona (CD4),30.5
Ridgewood and Maspeth (CD5),31.5
Rego Park and Forest Hills (CD6),30.6
Flushing and Whitestone (CD7),32
Hillcrest and Fresh Meadows (CD8),31.7
Kew Gardens and Woodhaven (CD9),31.7
South Ozone Park and Howard Beach (CD10),33
Bayside and Little Neck (CD11),32.3
Jamaica and Hollis (CD12),32.8
Queens Village (CD13),33.7
Rockaway and Broad Channel (CD14),36.3
St. George and Stapleton (CD1),30.3
South Beach and Willowbrook (CD2),31.6
Tottenville and Great Kills (CD3),31.9
Kingsbridge - Riverdale,30.4
Northeast Bronx,31.5
Fordham - Bronx Pk,30.7
Pelham - Throgs Neck,31.9
Crotona -Tremont,30.1
High Bridge - Morrisania,29.9
Hunts Point - Mott Haven,31.4
Greenpoint,30.5
Downtown - Heights - Slope,29.3
Bedford Stuyvesant - Crown Heights,30.3
East New York,32
Sunset Park,30.6
Borough Park,30.7
East Flatbush - Flatbush,30.9
Canarsie - Flatlands,33.2
Bensonhurst - Bay Ridge,31.3
Coney Island - Sheepshead Bay,32.6
Williamsburg - Bushwick,30.4
Washington Heights,29.5
Central Harlem - Morningside Heights,28.6
East Harlem,28.9
Upper West Side,27.4
Upper East Side,26.7
Chelsea - Clinton,24.6
Gramercy Park - Murray Hill,22.9
Greenwich Village - SoHo,26.7
Union Square - Lower East Side,26.9
Lower Manhattan,26
Long Island City - Astoria,30.7
West Queens,30.9
Flushing - Clearview,32
Bayside - Little Neck,32.3
Ridgewood - Forest Hills,31.3
Fresh Meadows,31.8
Southwest Queens,32.5
Jamaica,32.6
Southeast Queens,33.6
Rockaways,36.2
Port Richmond,30.2
Stapleton - St. George,31.1
Willowbrook,31.1
South Beach - Tottenville,32
Kingsbridge - Riverdale,30.4
Northeast Bronx,31.5
Fordham - Bronx Pk,30.7
Pelham - Throgs Neck,31.9
Greenpoint,30.5
Downtown - Heights - Slope,29.3
Bedford Stuyvesant - Crown Heights,30.3
East New York,32
Sunset Park,30.6
Borough Park,30.7
East Flatbush - Flatbush,30.9
Canarsie - Flatlands,33.2
Bensonhurst - Bay Ridge,31.3
Coney Island - Sheepshead Bay,32.6
Williamsburg - Bushwick,30.4
Washington Heights,29.5
Central Harlem - Morningside Heights,28.6
East Harlem,28.9
Upper West Side,27.4
Long Island City - Astoria,30.7
West Queens,30.9
Flushing - Clearview,32
Ridgewood - Forest Hills,31.3
Southwest Queens,32.5
Jamaica,32.6
Southeast Queens,33.6
Rockaways,36.2
Upper East Side-Gramercy,24.9
Chelsea-Village  ,25.3
Union Square-Lower Manhattan,26.6
Bayside Little Neck-Fresh Meadows,32.1
Northern SI,30.8
Southern SI,31.6
South Bronx,30.6
Bronx,31.1
Brooklyn,31.3
Manhattan,27
Queens,32.4
Staten Island,31.4
New York City,31.4
Financial District (CD1),24.4
Greenwich Village and Soho (CD2),25.1
Lower East Side and Chinatown (CD3),26.1
Clinton and Chelsea (CD4),25.1
Midtown (CD5),20.7
Stuyvesant Town and Turtle Bay (CD6),23.1
Upper West Side (CD7),26.9
Upper East Side (CD8),26.2
Morningside Heights and Hamilton Heights (CD9),28.3
Central Harlem (CD10),28.5
East Harlem (CD11),28.9
Washington Heights and Inwood (CD12),29.5
Mott Haven and Melrose (CD1),30.6
Hunts Point and Longwood (CD2),31.9
Morrisania and Crotona (CD3),30.4
Highbridge and Concourse (CD4),29.7
Fordham and University Heights (CD5),29.7
Belmont and East Tremont (CD6),30.5
Kingsbridge Heights and Bedford (CD7),30.3
Riverdale and Fieldston (CD8),30.4
Parkchester and Soundview (CD9),31.5
Throgs Neck and Co-op City (CD10),32.6
Morris Park and Bronxdale (CD11),31.6
Williamsbridge and Baychester (CD12),31.6
Greenpoint and Williamsburg (CD1),29.8
Fort Greene and Brooklyn Heights (CD2),27.6
Bedford Stuyvesant (CD3),29.1
Bushwick (CD4),30.4
East New York and Starrett City (CD5),31.9
Park Slope and Carroll Gardens (CD6),28.4
Sunset Park (CD7),29.6
Crown Heights and Prospect Heights (CD8),29
South Crown Heights and Lefferts Gardens (CD9),29.6
Bay Ridge and Dyker Heights (CD10),30.3
Bensonhurst (CD11),32
Borough Park (CD12),30.4
Coney Island (CD13),34.6
Flatbush and Midwood (CD14),30.8
Sheepshead Bay (CD15),33.6
Brownsville (CD16),30.7
East Flatbush (CD17),31
Flatlands and Canarsie (CD18),33.6
Long Island City and Astoria (CD1),31.2
Woodside and Sunnyside (CD2),30.7
Jackson Heights (CD3),30.7
Elmhurst and Corona (CD4),30.2
Ridgewood and Maspeth (CD5),31.1
Rego Park and Forest Hills (CD6),30
Flushing and Whitestone (CD7),31.5
Hillcrest and Fresh Meadows (CD8),30.4
Kew Gardens and Woodhaven (CD9),30.8
South Ozone Park and Howard Beach (CD10),32.3
Bayside and Little Neck (CD11),30.8
Jamaica and Hollis (CD12),31.3
Queens Village (CD13),31.9
Rockaway and Broad Channel (CD14),36.9
St. George and Stapleton (CD1),29.2
South Beach and Willowbrook (CD2),31.3
Tottenville and Great Kills (CD3),32.6
Kingsbridge - Riverdale,30.4
Northeast Bronx,31.7
Fordham - Bronx Pk,30.8
Pelham - Throgs Neck,32.1
Crotona -Tremont,30.1
High Bridge - Morrisania,29.9
Hunts Point - Mott Haven,31.6
Greenpoint,29.8
Downtown - Heights - Slope,28
Bedford Stuyvesant - Crown Heights,29.7
East New York,31.5
Sunset Park,29.7
Borough Park,30.6
East Flatbush - Flatbush,30.7
Canarsie - Flatlands,33.7
Bensonhurst - Bay Ridge,31.4
Coney Island - Sheepshead Bay,33.9
Williamsburg - Bushwick,29.7
Washington Heights,29.3
Central Harlem - Morningside Heights,28.4
East Harlem,28.9
Upper West Side,26.9
Upper East Side,26.3
Chelsea - Clinton,23.5
Gramercy Park - Murray Hill,21.9
Greenwich Village - SoHo,25.2
Union Square - Lower East Side,25.7
Lower Manhattan,24.3
Long Island City - Astoria,30.6
West Queens,30.7
Flushing - Clearview,31.4
Bayside - Little Neck,30.8
Ridgewood - Forest Hills,30.8
Fresh Meadows,30.7
Southwest Queens,31.7
Jamaica,31.1
Southeast Queens,31.8
Rockaways,36.8
Port Richmond,28.8
Stapleton - St. George,30.6
Willowbrook,30.5
South Beach - Tottenville,32.7
Kingsbridge - Riverdale,30.4
Northeast Bronx,31.7
Fordham - Bronx Pk,30.8
Pelham - Throgs Neck,32.1
Greenpoint,29.8
Downtown - Heights - Slope,28
Bedford Stuyvesant - Crown Heights,29.7
East New York,31.5
Sunset Park,29.7
Borough Park,30.6
East Flatbush - Flatbush,30.7
Canarsie - Flatlands,33.7
Bensonhurst - Bay Ridge,31.4
Coney Island - Sheepshead Bay,33.9
Williamsburg - Bushwick,29.7
Washington Heights,29.3
Central Harlem - Morningside Heights,28.4
East Harlem,28.9
Upper West Side,26.9
Long Island City - Astoria,30.6
West Queens,30.7
Flushing - Clearview,31.4
Ridgewood - Forest Hills,30.8
Southwest Queens,31.7
Jamaica,31.1
Southeast Queens,31.8
Rockaways,36.8
Upper East Side-Gramercy,24.3
Chelsea-Village  ,24.1
Union Square-Lower Manhattan,25.3
Bayside Little Neck-Fresh Meadows,30.7
Northern SI,30
Southern SI,31.8
South Bronx,30.7
Bronx,31.2
Brooklyn,31.1
Manhattan,26.3
Queens,31.6
Staten Island,31.3
New York City,31
Financial District (CD1),26.6
Greenwich Village and Soho (CD2),27.7
Lower East Side and Chinatown (CD3),28.8
Clinton and Chelsea (CD4),27.9
Midtown (CD5),22.5
Stuyvesant Town and Turtle Bay (CD6),25.5
Upper West Side (CD7),30.2
Upper East Side (CD8),29.2
Morningside Heights and Hamilton Heights (CD9),31.6
Central Harlem (CD10),31.8
East Harlem (CD11),32.3
Washington Heights and Inwood (CD12),32.8
Mott Haven and Melrose (CD1),34
Hunts Point and Longwood (CD2),35.2
Morrisania and Crotona (CD3),33.7
Highbridge and Concourse (CD4),33
Fordham and University Heights (CD5),32.9
Belmont and East Tremont (CD6),33.8
Kingsbridge Heights and Bedford (CD7),33.5
Riverdale and Fieldston (CD8),33.8
Parkchester and Soundview (CD9),34.9
Throgs Neck and Co-op City (CD10),36
Morris Park and Bronxdale (CD11),35
Williamsbridge and Baychester (CD12),35
Greenpoint and Williamsburg (CD1),32.7
Fort Greene and Brooklyn Heights (CD2),30.2
Bedford Stuyvesant (CD3),31.6
Bushwick (CD4),32.9
East New York and Starrett City (CD5),34.4
Park Slope and Carroll Gardens (CD6),31
Sunset Park (CD7),32.2
Crown Heights and Prospect Heights (CD8),31.5
South Crown Heights and Lefferts Gardens (CD9),32.1
Bay Ridge and Dyker Heights (CD10),33
Bensonhurst (CD11),34.9
Borough Park (CD12),33.1
Coney Island (CD13),37.9
Flatbush and Midwood (CD14),33.5
Sheepshead Bay (CD15),36.8
Brownsville (CD16),33.2
East Flatbush (CD17),33.6
Flatlands and Canarsie (CD18),36.6
Long Island City and Astoria (CD1),34.5
Woodside and Sunnyside (CD2),33.8
Jackson Heights (CD3),33.7
Elmhurst and Corona (CD4),32.9
Ridgewood and Maspeth (CD5),33.7
Rego Park and Forest Hills (CD6),32.4
Flushing and Whitestone (CD7),34.5
Hillcrest and Fresh Meadows (CD8),33
Kew Gardens and Woodhaven (CD9),33.2
South Ozone Park and Howard Beach (CD10),34.8
Bayside and Little Neck (CD11),33.9
Jamaica and Hollis (CD12),33.9
Queens Village (CD13),35
Rockaway and Broad Channel (CD14),40.4
St. George and Stapleton (CD1),31.5
South Beach and Willowbrook (CD2),33.7
Tottenville and Great Kills (CD3),35.3
Kingsbridge - Riverdale,33.7
Northeast Bronx,35.1
Fordham - Bronx Pk,34.1
Pelham - Throgs Neck,35.4
Crotona -Tremont,33.4
High Bridge - Morrisania,33.2
Hunts Point - Mott Haven,35
Greenpoint,32.7
Downtown - Heights - Slope,30.7
Bedford Stuyvesant - Crown Heights,32.1
East New York,34
Sunset Park,32.3
Borough Park,33.4
East Flatbush - Flatbush,33.4
Canarsie - Flatlands,36.6
Bensonhurst - Bay Ridge,34.3
Coney Island - Sheepshead Bay,37.1
Williamsburg - Bushwick,32.3
Washington Heights,32.7
Central Harlem - Morningside Heights,31.7
East Harlem,32.2
Upper West Side,30.2
Upper East Side,29.2
Chelsea - Clinton,26
Gramercy Park - Murray Hill,24
Greenwich Village - SoHo,27.8
Union Square - Lower East Side,28.4
Lower Manhattan,26.4
Long Island City - Astoria,33.9
West Queens,33.6
Flushing - Clearview,34.5
Bayside - Little Neck,33.8
Ridgewood - Forest Hills,33.3
Fresh Meadows,33.4
Southwest Queens,34.1
Jamaica,33.8
Southeast Queens,34.8
Rockaways,40.3
Port Richmond,31.1
Stapleton - St. George,33.1
Willowbrook,32.8
South Beach - Tottenville,35.3
Kingsbridge - Riverdale,33.7
Northeast Bronx,35.1
Fordham - Bronx Pk,34.1
Pelham - Throgs Neck,35.4
Greenpoint,32.7
Downtown - Heights - Slope,30.7
Bedford Stuyvesant - Crown Heights,32.1
East New York,34
Sunset Park,32.3
Borough Park,33.4
East Flatbush - Flatbush,33.4
Canarsie - Flatlands,36.6
Bensonhurst - Bay Ridge,34.3
Coney Island - Sheepshead Bay,37.1
Williamsburg - Bushwick,32.3
Washington Heights,32.7
Central Harlem - Morningside Heights,31.7
East Harlem,32.2
Upper West Side,30.2
Long Island City - Astoria,33.9
West Queens,33.6
Flushing - Clearview,34.5
Ridgewood - Forest Hills,33.3
Southwest Queens,34.1
Jamaica,33.8
Southeast Queens,34.8
Rockaways,40.3
Upper East Side-Gramercy,26.8
Chelsea-Village  ,26.6
Union Square-Lower Manhattan,27.8
Bayside Little Neck-Fresh Meadows,33.7
Northern SI,32.4
Southern SI,34.3
South Bronx,34
Bronx,34.6
Brooklyn,33.9
Manhattan,29.2
Queens,34.5
Staten Island,33.8
New York City,33.8
Financial District (CD1),25.2
Greenwich Village and Soho (CD2),26.1
Lower East Side and Chinatown (CD3),27.4
Clinton and Chelsea (CD4),26
Midtown (CD5),21
Stuyvesant Town and Turtle Bay (CD6),24
Upper West Side (CD7),27.9
Upper East Side (CD8),27.4
Morningside Heights and Hamilton Heights (CD9),29.2
Central Harlem (CD10),29.5
East Harlem (CD11),30.3
Washington Heights and Inwood (CD12),30.3
Mott Haven and Melrose (CD1),32.1
Hunts Point and Longwood (CD2),33.8
Morrisania and Crotona (CD3),31.9
Highbridge and Concourse (CD4),30.8
Fordham and University Heights (CD5),30.7
Belmont and East Tremont (CD6),31.9
Kingsbridge Heights and Bedford (CD7),31.4
Riverdale and Fieldston (CD8),31.3
Parkchester and Soundview (CD9),33.6
Throgs Neck and Co-op City (CD10),34.9
Morris Park and Bronxdale (CD11),33.4
Williamsbridge and Baychester (CD12),33.2
Greenpoint and Williamsburg (CD1),31.6
Fort Greene and Brooklyn Heights (CD2),29.1
Bedford Stuyvesant (CD3),30.8
Bushwick (CD4),32.3
East New York and Starrett City (CD5),33.9
Park Slope and Carroll Gardens (CD6),29.9
Sunset Park (CD7),31.4
Crown Heights and Prospect Heights (CD8),30.7
South Crown Heights and Lefferts Gardens (CD9),31.4
Bay Ridge and Dyker Heights (CD10),32.5
Bensonhurst (CD11),34.4
Borough Park (CD12),32.4
Coney Island (CD13),37.5
Flatbush and Midwood (CD14),32.8
Sheepshead Bay (CD15),36.2
Brownsville (CD16),32.6
East Flatbush (CD17),33
Flatlands and Canarsie (CD18),35.9
Long Island City and Astoria (CD1),33.3
Woodside and Sunnyside (CD2),32.8
Jackson Heights (CD3),33.1
Elmhurst and Corona (CD4),32.6
Ridgewood and Maspeth (CD5),33.3
Rego Park and Forest Hills (CD6),32.2
Flushing and Whitestone (CD7),34
Hillcrest and Fresh Meadows (CD8),32.5
Kew Gardens and Woodhaven (CD9),32.8
South Ozone Park and Howard Beach (CD10),34.2
Bayside and Little Neck (CD11),33.1
Jamaica and Hollis (CD12),33
Queens Village (CD13),33.7
Rockaway and Broad Channel (CD14),39.1
St. George and Stapleton (CD1),31.5
South Beach and Willowbrook (CD2),34.1
Tottenville and Great Kills (CD3),35.9
Kingsbridge - Riverdale,31.2
Northeast Bronx,33.4
Fordham - Bronx Pk,32.1
Pelham - Throgs Neck,34.2
Crotona -Tremont,31.5
High Bridge - Morrisania,31.1
Hunts Point - Mott Haven,33.4
Greenpoint,31.6
Downtown - Heights - Slope,29.5
Bedford Stuyvesant - Crown Heights,31.4
East New York,33.5
Sunset Park,31.5
Borough Park,32.7
East Flatbush - Flatbush,32.7
Canarsie - Flatlands,35.9
Bensonhurst - Bay Ridge,33.8
Coney Island - Sheepshead Bay,36.6
Williamsburg - Bushwick,31.5
Washington Heights,30.1
Central Harlem - Morningside Heights,29.4
East Harlem,30.2
Upper West Side,27.9
Upper East Side,27.5
Chelsea - Clinton,24.2
Gramercy Park - Murray Hill,22.6
Greenwich Village - SoHo,26.2
Union Square - Lower East Side,26.9
Lower Manhattan,25.1
Long Island City - Astoria,32.7
West Queens,33
Flushing - Clearview,33.9
Bayside - Little Neck,33
Ridgewood - Forest Hills,33
Fresh Meadows,32.9
Southwest Queens,33.6
Jamaica,33
Southeast Queens,33.6
Rockaways,39
Port Richmond,31
Stapleton - St. George,33.2
Willowbrook,33.1
South Beach - Tottenville,35.9
Kingsbridge - Riverdale,31.2
Northeast Bronx,33.4
Fordham - Bronx Pk,32.1
Pelham - Throgs Neck,34.2
Greenpoint,31.6
Downtown - Heights - Slope,29.5
Bedford Stuyvesant - Crown Heights,31.4
East New York,33.5
Sunset Park,31.5
Borough Park,32.7
East Flatbush - Flatbush,32.7
Canarsie - Flatlands,35.9
Bensonhurst - Bay Ridge,33.8
Coney Island - Sheepshead Bay,36.6
Williamsburg - Bushwick,31.5
Washington Heights,30.1
Central Harlem - Morningside Heights,29.4
East Harlem,30.2
Upper West Side,27.9
Long Island City - Astoria,32.7
West Queens,33
Flushing - Clearview,33.9
Ridgewood - Forest Hills,33
Southwest Queens,33.6
Jamaica,33
Southeast Queens,33.6
Rockaways,39
Upper East Side-Gramercy,25.2
Chelsea-Village  ,24.9
Union Square-Lower Manhattan,26.4
Bayside Little Neck-Fresh Meadows,33
Northern SI,32.4
Southern SI,34.9
South Bronx,32.2
Bronx,32.9
Brooklyn,33.2
Manhattan,27.3
Queens,33.7
Staten Island,34.2
New York City,33.1
Financial District (CD1),27
Greenwich Village and Soho (CD2),27.7
Lower East Side and Chinatown (CD3),28.8
Clinton and Chelsea (CD4),27.3
Midtown (CD5),22.5
Stuyvesant Town and Turtle Bay (CD6),25.3
Upper West Side (CD7),28.7
Upper East Side (CD8),28.1
Morningside Heights and Hamilton Heights (CD9),29.6
Central Harlem (CD10),29.8
East Harlem (CD11),30.6
Washington Heights and Inwood (CD12),30.7
Mott Haven and Melrose (CD1),32.1
Hunts Point and Longwood (CD2),33.6
Morrisania and Crotona (CD3),31.9
Highbridge and Concourse (CD4),31
Fordham and University Heights (CD5),31
Belmont and East Tremont (CD6),32.1
Kingsbridge Heights and Bedford (CD7),31.9
Riverdale and Fieldston (CD8),32
Parkchester and Soundview (CD9),33.5
Throgs Neck and Co-op City (CD10),35
Morris Park and Bronxdale (CD11),33.7
Williamsbridge and Baychester (CD12),33.8
Greenpoint and Williamsburg (CD1),32.5
Fort Greene and Brooklyn Heights (CD2),30.5
Bedford Stuyvesant (CD3),31.8
Bushwick (CD4),33
East New York and Starrett City (CD5),34.3
Park Slope and Carroll Gardens (CD6),31.3
Sunset Park (CD7),32.6
Crown Heights and Prospect Heights (CD8),31.7
South Crown Heights and Lefferts Gardens (CD9),32.2
Bay Ridge and Dyker Heights (CD10),33.4
Bensonhurst (CD11),34.9
Borough Park (CD12),33.2
Coney Island (CD13),37.4
Flatbush and Midwood (CD14),33.4
Sheepshead Bay (CD15),36.2
Brownsville (CD16),33.2
East Flatbush (CD17),33.6
Flatlands and Canarsie (CD18),36.1
Long Island City and Astoria (CD1),33.4
Woodside and Sunnyside (CD2),33.3
Jackson Heights (CD3),33.1
Elmhurst and Corona (CD4),32.7
Ridgewood and Maspeth (CD5),33.7
Rego Park and Forest Hills (CD6),32.5
Flushing and Whitestone (CD7),34
Hillcrest and Fresh Meadows (CD8),32.9
Kew Gardens and Woodhaven (CD9),33.2
South Ozone Park and Howard Beach (CD10),34.6
Bayside and Little Neck (CD11),33.6
Jamaica and Hollis (CD12),33.6
Queens Village (CD13),34.4
Rockaway and Broad Channel (CD14),39.1
St. George and Stapleton (CD1),33
South Beach and Willowbrook (CD2),35.2
Tottenville and Great Kills (CD3),36.5
Kingsbridge - Riverdale,31.9
Northeast Bronx,34
Fordham - Bronx Pk,32.5
Pelham - Throgs Neck,34.3
Crotona -Tremont,31.6
High Bridge - Morrisania,31.2
Hunts Point - Mott Haven,33.3
Greenpoint,32.5
Downtown - Heights - Slope,30.9
Bedford Stuyvesant - Crown Heights,32.3
East New York,34
Sunset Park,32.7
Borough Park,33.4
East Flatbush - Flatbush,33.3
Canarsie - Flatlands,36.1
Bensonhurst - Bay Ridge,34.5
Coney Island - Sheepshead Bay,36.5
Williamsburg - Bushwick,32.4
Washington Heights,30.5
Central Harlem - Morningside Heights,29.8
East Harlem,30.5
Upper West Side,28.7
Upper East Side,28.2
Chelsea - Clinton,25.6
Gramercy Park - Murray Hill,23.9
Greenwich Village - SoHo,27.9
Union Square - Lower East Side,28.4
Lower Manhattan,26.9
Long Island City - Astoria,33
West Queens,33.2
Flushing - Clearview,34
Bayside - Little Neck,33.5
Ridgewood - Forest Hills,33.3
Fresh Meadows,33.2
Southwest Queens,34
Jamaica,33.5
Southeast Queens,34.3
Rockaways,39
Port Richmond,32.7
Stapleton - St. George,34.3
Willowbrook,34.4
South Beach - Tottenville,36.5
Kingsbridge - Riverdale,31.9
Northeast Bronx,34
Fordham - Bronx Pk,32.5
Pelham - Throgs Neck,34.3
Greenpoint,32.5
Downtown - Heights - Slope,30.9
Bedford Stuyvesant - Crown Heights,32.3
East New York,34
Sunset Park,32.7
Borough Park,33.4
East Flatbush - Flatbush,33.3
Canarsie - Flatlands,36.1
Bensonhurst - Bay Ridge,34.5
Coney Island - Sheepshead Bay,36.5
Williamsburg - Bushwick,32.4
Washington Heights,30.5
Central Harlem - Morningside Heights,29.8
East Harlem,30.5
Upper West Side,28.7
Long Island City - Astoria,33
West Queens,33.2
Flushing - Clearview,34
Ridgewood - Forest Hills,33.3
Southwest Queens,34
Jamaica,33.5
Southeast Queens,34.3
Rockaways,39
Upper East Side-Gramercy,26.2
Chelsea-Village  ,26.4
Union Square-Lower Manhattan,27.9
Bayside Little Neck-Fresh Meadows,33.4
Northern SI,33.8
Southern SI,35.8
South Bronx,32.2
Bronx,33.2
Brooklyn,33.8
Manhattan,28.2
Queens,34.1
Staten Island,35.2
New York City,33.7
Financial District (CD1),19.1
Greenwich Village and Soho (CD2),20.5
Lower East Side and Chinatown (CD3),21.6
Clinton and Chelsea (CD4),20.3
Midtown (CD5),14.4
Stuyvesant Town and Turtle Bay (CD6),17.8
Upper West Side (CD7),21.4
Upper East Side (CD8),20.8
Morningside Heights and Hamilton Heights (CD9),21.3
Central Harlem (CD10),21.6
East Harlem (CD11),22.8
Washington Heights and Inwood (CD12),21.9
Mott Haven and Melrose (CD1),24
Hunts Point and Longwood (CD2),25.5
Morrisania and Crotona (CD3),23.4
Highbridge and Concourse (CD4),22.3
Fordham and University Heights (CD5),22.2
Belmont and East Tremont (CD6),23.7
Kingsbridge Heights and Bedford (CD7),23.6
Riverdale and Fieldston (CD8),23.7
Parkchester and Soundview (CD9),25.6
Throgs Neck and Co-op City (CD10),27.8
Morris Park and Bronxdale (CD11),26.1
Williamsbridge and Baychester (CD12),26.6
Greenpoint and Williamsburg (CD1),25.4
Fort Greene and Brooklyn Heights (CD2),22.7
Bedford Stuyvesant (CD3),23.9
Bushwick (CD4),25.3
East New York and Starrett City (CD5),26.7
Park Slope and Carroll Gardens (CD6),23.4
Sunset Park (CD7),24.5
Crown Heights and Prospect Heights (CD8),23.6
South Crown Heights and Lefferts Gardens (CD9),24.2
Bay Ridge and Dyker Heights (CD10),25.6
Bensonhurst (CD11),27.4
Borough Park (CD12),25.3
Coney Island (CD13),30.6
Flatbush and Midwood (CD14),25.6
Sheepshead Bay (CD15),29.3
Brownsville (CD16),25.4
East Flatbush (CD17),25.7
Flatlands and Canarsie (CD18),29
Long Island City and Astoria (CD1),26.3
Woodside and Sunnyside (CD2),26.4
Jackson Heights (CD3),25.5
Elmhurst and Corona (CD4),24.9
Ridgewood and Maspeth (CD5),26.1
Rego Park and Forest Hills (CD6),24.5
