GeoType,Geography,Percent,Degrees,Score,Time,GeoTypeDesc,GeoID,GeoRank,10th percentile ppb,90th percentile ppb,Mean_ppb,HospRate,Percent_Poverty,Perc_Dpct,Perc_D,Perc_C,Pct_DorC
CD,Sheepshead Bay (CD15),23.4,98,2,Summer 2021,Community District,315,6,30.7,33.3,31.8,1.0,14.0,34.51,0.3451,0.4104,0.7555
CD,Brownsville (CD16),23.1,101,5,Summer 2021,Community District,316,6,29.7,31.7,30.8,3.6,34.0,77.75,0.7775,0.2225,1
CD,East Flatbush (CD17),22.0,99,5,Summer 2021,Community District,317,6,30.1,31.9,31.0,1.9,13.6,0.0,0.0,0.4078,0.4078
CD,Flatlands and Canarsie (CD18),34.9,98,3,Summer 2021,Community District,318,6,30.4,34.8,32.2,1.3,10.0,43.12,0.4312,0.1799,0.6111
CD,Long Island City and Astoria (CD1),23.2,99,2,Summer 2021,Community District,401,6,29.0,32.6,30.4,1.1,13.6,37.17,0.3717,0.6282,0.9999
CD,Woodside and Sunnyside (CD2),23.4,100,3,Summer 2021,Community District,402,6,25.3,30.5,28.0,0.5,9.9,15.74,0.1574,0.8423,0.9997
CD,Jackson Heights (CD3),24.3,100,3,Summer 2021,Community District,403,6,29.5,31.3,30.4,1.0,15.0,30.31,0.3031,0.5101,0.8132
CD,Elmhurst and Corona (CD4),18.3,101,4,Summer 2021,Community District,404,6,29.4,31.2,30.3,0.9,16.2,36.65,0.3665,0.6331,0.9996
CD,Ridgewood and Maspeth (CD5),38.2,98,1,Summer 2021,Community District,405,6,26.5,32.1,29.7,1.5,9.6,3.7,0.037,0.9619,0.9989
CD,Rego Park and Forest Hills (CD6),34.5,99,1,Summer 2021,Community District,406,6,29.0,31.3,30.2,0.7,10.4,0.07,0.0007,0.5027,0.5034
CD,Flushing and Whitestone (CD7),38.1,99,2,Summer 2021,Community District,407,6,29.5,31.8,30.8,0.4,15.1,6.32,0.0632,0.7489,0.8121
CD,Hillcrest and Fresh Meadows (CD8),48.4,99,1,Summer 2021,Community District,408,6,28.7,31.6,30.3,0.9,12.7,0.0,0.0,0.7191,0.7191
CD,Kew Gardens and Woodhaven (CD9),24.8,101,4,Summer 2021,Community District,409,6,29.9,32.1,31.1,1.3,12.8,0.34,0.0034,0.9449,0.9483
CD,South Ozone Park and Howard Beach (CD10),31.4,100,2,Summer 2021,Community District,410,6,31.1,33.7,32.4,1.0,10.9,0.97,0.0097,0.9903,1
CD,Bayside and Little Neck (CD11),51.6,98,1,Summer 2021,Community District,411,6,29.0,31.6,30.3,1.0,7.6,3.11,0.0311,0.5441,0.5752
CD,Jamaica and Hollis (CD12),32.5,102,5,Summer 2021,Community District,412,6,30.3,32.4,31.4,1.9,11.8,29.44,0.2944,0.7042,0.9986
CD,Queens Village (CD13),42.1,101,3,Summer 2021,Community District,413,6,29.6,32.8,31.3,0.7,7.2,16.24,0.1624,0.8375,0.9999
CD,Rockaway and Broad Channel (CD14),31.3,95,3,Summer 2021,Community District,414,6,33.4,36.7,34.9,0.9,18.1,9.62,0.0962,0.7112,0.8074
CD,St. George and Stapleton (CD1),45.1,98,2,Summer 2021,Community District,501,6,27.2,29.9,28.6,2.9,18.1,42.48,0.4248,0.3793,0.8041
CD,South Beach and Willowbrook (CD2),60.8,95,1,Summer 2021,Community District,502,6,26.0,32.1,29.4,1.6,10.6,38.75,0.3875,0.3601,0.7476
CD,Tottenville and Great Kills (CD3),58.8,95,1,Summer 2021,Community District,503,6,27.5,32.5,30.2,1.4,5.9,22.97,0.2297,0.6603,0.89
