GeoType,Geography,Percent,Degrees,Score,Time,GeoTypeDesc,GeoID,GeoRank,10th percentile ppb,90th percentile ppb,Mean_ppb
CD,Greenpoint and Williamsburg (CD1),13.9,100,4,Summer 2021,Community District,301,6,25.8,29.6,27.8
CD,Fort Greene and Brooklyn Heights (CD2),24.6,98,3,Summer 2021,Community District,302,6,27,30.2,28.6
CD,Bedford Stuyvesant (CD3),25.1,99,5,Summer 2021,Community District,303,6,27.8,31,29.6
CD,Bushwick (CD4),25.4,100,4,Summer 2021,Community District,304,6,28.7,31.5,30.4
CD,East New York and Starrett City (CD5),28.3,100,5,Summer 2021,Community District,305,6,29.9,32.9,31.3
CD,Park Slope and Carroll Gardens (CD6),20.8,97,2,Summer 2021,Community District,306,6,27.6,30.4,28.9
CD,Sunset Park (CD7),29.4,96,2,Summer 2021,Community District,307,6,27.1,30.4,28.9
CD,Crown Heights and Prospect Heights (CD8),24.6,98,4,Summer 2021,Community District,308,6,28.7,31,29.9
CD,South Crown Heights and Lefferts Gardens (CD9),21.5,98,4,Summer 2021,Community District,309,6,29.7,31.5,30.6
CD,Bay Ridge and Dyker Heights (CD10),32.3,94,1,Summer 2021,Community District,310,6,28.3,31.1,29.7
CD,Bensonhurst (CD11),15.6,96,2,Summer 2021,Community District,311,6,30.5,31.8,31.2
CD,Borough Park (CD12),23.9,99,4,Summer 2021,Community District,312,6,29.5,31.3,30.4
CD,Coney Island (CD13),22.8,96,3,Summer 2021,Community District,313,6,31,34,32.4
CD,Flatbush and Midwood (CD14),29.3,99,4,Summer 2021,Community District,314,6,29.3,31.3,30.4
CD,Sheepshead Bay (CD15),23.4,98,2,Summer 2021,Community District,315,6,30.7,33.3,31.8
CD,Brownsville (CD16),23.1,101,5,Summer 2021,Community District,316,6,29.7,31.7,30.8
CD,East Flatbush (CD17),22,99,5,Summer 2021,Community District,317,6,30.1,31.9,31
CD,Flatlands and Canarsie (CD18),34.9,98,3,Summer 2021,Community District,318,6,30.4,34.8,32.2
CD,Long Island City and Astoria (CD1),23.2,99,2,Summer 2021,Community District,401,6,29,32.6,30.4
CD,Woodside and Sunnyside (CD2),23.4,100,3,Summer 2021,Community District,402,6,25.3,30.5,28
CD,Jackson Heights (CD3),24.3,100,3,Summer 2021,Community District,403,6,29.5,31.3,30.4
CD,Elmhurst and Corona (CD4),18.3,101,4,Summer 2021,Community District,404,6,29.4,31.2,30.3
CD,Ridgewood and Maspeth (CD5),38.2,98,1,Summer 2021,Community District,405,6,26.5,32.1,29.7
CD,Rego Park and Forest Hills (CD6),34.5,99,1,Summer 2021,Community District,406,6,29,31.3,30.2
CD,Flushing and Whitestone (CD7),38.1,99,2,Summer 2021,Community District,407,6,29.5,31.8,30.8
CD,Hillcrest and Fresh Meadows (CD8),48.4,99,1,Summer 2021,Community District,408,6,28.7,31.6,30.3
CD,Kew Gardens and Woodhaven (CD9),24.8,101,4,Summer 2021,Community District,409,6,29.9,32.1,31.1
CD,South Ozone Park and Howard Beach (CD10),31.4,100,2,Summer 2021,Community District,410,6,31.1,33.7,32.4
CD,Bayside and Little Neck (CD11),51.6,98,1,Summer 2021,Community District,411,6,29,31.6,30.3
CD,Jamaica and Hollis (CD12),32.5,102,5,Summer 2021,Community District,412,6,30.3,32.4,31.4
CD,Queens Village (CD13),42.1,101,3,Summer 2021,Community District,413,6,29.6,32.8,31.3
CD,Rockaway and Broad Channel (CD14),31.3,95,3,Summer 2021,Community District,414,6,33.4,36.7,34.9
CD,St. George and Stapleton (CD1),45.1,98,2,Summer 2021,Community District,501,6,27.2,29.9,28.6
CD,South Beach and Willowbrook (CD2),60.8,95,1,Summer 2021,Community District,502,6,26,32.1,29.4
CD,Tottenville and Great Kills (CD3),58.8,95,1,Summer 2021,Community District,503,6,27.5,32.5,30.2
