BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,Shape_Sq_Miles
5,Staten Island,85,SI54,Great Kills,66104.65586,89611143.74,3.214173018
3,Brooklyn,47,BK76,Greenpoint,28914.17369,35321852.89,1.266924422
5,Staten Island,85,SI08,Grymes Hill-Clifton-Fox Hills,37119.88727,37752289.15,1.354099324
1,Manhattan,61,MN04,Hamilton Heights,17103.36297,15984383.15,0.573327947
4,Queens,81,QN12,Hammels-Arverne-Edgemere,83078.8166,61899914.53,2.22022649
2,Bronx,5,BX26,Highbridge,18506.30999,16457635.6,0.590302568
4,Queens,81,QN07,Hollis,20976.33592,22887773.4,0.820938788
3,Brooklyn,47,BK25,Homecrest,27514.0285,29991855.98,1.075748062
1,Manhattan,61,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,45412.96092,37054369.34,1.329066332
4,Queens,81,QN31,Hunters Point-Sunnyside-West Maspeth,74545.8497,102424934.1,3.673778124
2,Bronx,5,BX27,Hunts Point,43702.03483,49693240.9,1.78239745
4,Queens,81,QN28,Jackson Heights,29423.94931,47861058.02,1.716680704
4,Queens,81,QN61,Jamaica,43697.06442,47308298.41,1.696854319
4,Queens,81,QN06,Jamaica Estates-Holliswood,35466.502,42789750.38,1.534783012
3,Brooklyn,47,BK41,Kensington-Ocean Parkway,20800.74726,15893333.75,0.570062186
4,Queens,81,QN60,Kew Gardens,21294.47918,20444375.37,0.733298973
4,Queens,81,QN37,Kew Gardens Hills,33022.56014,37879692.88,1.358669042
2,Bronx,5,BX30,Kingsbridge Heights,21108.81092,13163118.89,0.472134824
4,Queens,81,QN66,Laurelton,29545.59169,39788638.95,1.42713913
1,Manhattan,61,MN31,Lenox Hill-Roosevelt Island,38404.48526,21508615.7,0.771471151
1,Manhattan,61,MN14,Lincoln Square,19871.8315,15805914.31,0.566926625
4,Queens,81,QN57,Lindenwood-Howard Beach,79069.23603,64543968.13,2.315063419
2,Bronx,5,BX33,Longwood,18982.1294,10732452.03,0.384951651
1,Manhattan,61,MN28,Lower East Side,26518.51228,23299597.15,0.835710084
3,Brooklyn,47,BK44,Madison,26237.25765,27379162.06,0.982035942
1,Manhattan,61,MN06,Manhattanville,17357.24674,10734804.79,0.38503604
1,Manhattan,61,MN01,Marble Hill-Inwood,31112.94449,17770179.45,0.637380899
5,Staten Island,85,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,71207.52576,89462868.5,3.208854681
4,Queens,81,QN30,Maspeth,41265.64415,35633108.93,1.278088556
2,Bronx,5,BX34,Melrose South-Mott Haven North,19589.19643,17271764.04,0.619503732
4,Queens,81,QN21,Middle Village,42675.7912,57685348.45,2.069058409
1,Manhattan,61,MN17,Midtown-Midtown South,27032.73033,30191277.47,1.082900914
3,Brooklyn,47,BK43,Midwood,27996.59062,35799575.11,1.284059365
1,Manhattan,61,MN09,Morningside Heights,20749.49758,20153942.39,0.722881721
2,Bronx,5,BX35,Morrisania-Melrose,27740.84572,16891753.27,0.605873503
2,Bronx,5,BX39,Mott Haven-Port Morris,35604.79081,41898613.6,1.502819713
2,Bronx,5,BX41,Mount Hope,18937.24782,14716710.74,0.527859065
4,Queens,81,QN51,Murray Hill,33266.90512,52488277.11,1.882649825
1,Manhattan,61,MN20,Murray Hill-Kips Bay,24230.20761,14459388.94,0.518629446
5,Staten Island,85,SI35,New Brighton-Silver Lake,30321.26742,47136309.08,1.690685405
5,Staten Island,85,SI45,New Dorp-Midland Beach,34369.88927,55448202.13,1.988816432
5,Staten Island,85,SI05,New Springville-Bloomfield-Travis,109182.381,327194482.4,11.73581357
4,Queens,81,QN26,North Corona,18429.54008,18003888.33,0.64576357
2,Bronx,5,BX22,North Riverdale-Fieldston-Riverdale,31851.14228,49048278.9,1.759263949
3,Brooklyn,47,BK73,North Side-South Side,28158.31637,28862141.85,1.03522747
2,Bronx,5,BX43,Norwood,22150.30814,15724927.98,0.564021807
4,Queens,81,QN42,Oakland Gardens,42409.8638,51008754.52,1.8295823
5,Staten Island,85,SI25,Oakwood-Oakwood Beach,44186.95755,55936023.6,2.006313616
3,Brooklyn,47,BK79,Ocean Hill,22494.58124,20089910.66,0.720585031
3,Brooklyn,47,BK46,Ocean Parkway South,21975.99721,17782095.71,0.637808311
4,Queens,81,QN71,Old Astoria,19367.6562,15620456.08,0.560274608
5,Staten Island,85,SI36,Old Town-Dongan Hills-South Beach,41972.44686,67011977.45,2.403585992
4,Queens,81,QN56,Ozone Park,24730.06909,25016771.49,0.897301704
3,Brooklyn,47,BK37,Park Slope-Gowanus,31437.3009,42505207.48,1.524577026
2,Bronx,5,BX99,park-cemetery-etc-Bronx,224686.3166,221420660.1,7.941917509
3,Brooklyn,47,BK99,park-cemetery-etc-Brooklyn,385416.9402,225371150.1,8.083613705
1,Manhattan,61,MN99,park-cemetery-etc-Manhattan,154465.1146,91484219.26,3.281356501
4,Queens,81,QN99,park-cemetery-etc-Queens,473341.6243,308298028.7,11.05803546
5,Staten Island,85,SI99,park-cemetery-etc-Staten Island,41433.82396,23386261.58,0.838818565
2,Bronx,5,BX46,Parkchester,12411.82087,9184334.813,0.329423774
2,Bronx,5,BX10,Pelham Bay-Country Club-City Island,138109.393,40214908.55,1.442428571
2,Bronx,5,BX49,Pelham Parkway,25672.55881,23020867.5,0.825712608
4,Queens,81,QN38,Pomonok-Flushing Heights-Hillcrest,30731.41977,38835920.19,1.392967008
5,Staten Island,85,SI28,Port Richmond,39056.4173,36417486.98,1.306222632
3,Brooklyn,47,BK64,Prospect Heights,15094.53715,10233482.59,0.367054612
3,Brooklyn,47,BK60,Prospect Lefferts Gardens-Wingate,29561.65872,31638434.35,1.134807545
4,Queens,81,QN34,Queens Village,41782.14665,69534363.32,2.494058943
4,Queens,81,QN62,Queensboro Hill,30690.30165,26541931.17,0.95200614
4,Queens,81,QN68,Queensbridge-Ravenswood-Long Island City,27228.38266,23312942.59,0.836188758
4,Queens,81,QN18,Rego Park,26675.11345,19941865.4,0.715274943
4,Queens,81,QN54,Richmond Hill,33792.46575,50978396.07,1.828493403
4,Queens,81,QN20,Ridgewood,40608.51307,50495175.55,1.811161247
2,Bronx,5,BX98,Rikers Island,18897.48741,18163734.84,0.651496946
4,Queens,81,QN05,Rosedale,64140.56019,61569463.44,2.208373868
5,Staten Island,85,SI32,Rossville-Woodrow,33244.81075,64964391.81,2.330143178
3,Brooklyn,47,BK96,Rugby-Remsen Village,30932.42658,32705427.44,1.173078459
2,Bronx,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,91203.55949,88432816,3.171908752
3,Brooklyn,47,BK21,Seagate-Coney Island,51826.93933,38762531.69,1.390334709
3,Brooklyn,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,91227.29123,63355880.24,2.272449076
1,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,26855.03171,25032679.98,0.897872309
2,Bronx,5,BX55,Soundview-Bruckner,19762.56187,16254945.33,0.583032473
2,Bronx,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,67334.99978,51982088.29,1.864493841
4,Queens,81,QN01,South Jamaica,32122.55226,39971928.71,1.433713368
4,Queens,81,QN55,South Ozone Park,36708.16931,82461393.74,2.957725744
4,Queens,81,QN02,Springfield Gardens North,25452.55371,28427868.86,1.019650963
4,Queens,81,QN03,Springfield Gardens South-Brookville,45320.25783,43287455.42,1.552634699
2,Bronx,5,BX29,Spuyten Duyvil-Kingsbridge,27990.7573,23214111.87,0.832643898
4,Queens,81,QN08,St. Albans,45401.3168,77412747.85,2.776640884
5,Staten Island,85,SI37,Stapleton-Rosebank,55199.75702,46433358.08,1.665471954
3,Brooklyn,47,BK93,Starrett City,17414.78265,11598952.5,0.416031295
4,Queens,81,QN72,Steinway,43564.43558,57725501.98,2.070498636
