Geography,Degrees Fahrenheit degrees Fahrenheit,,Row Labels,Count of TREES,Shape_Sq_Mile,Trees_Per_Sq_Mi
East New York,101,,Hammels-Arverne-Edgemere,3187,2.22022649,1435.439138
East New York,100,,Highbridge,1979,0.59030257,3352.518015
East New York (Pennsylvania Ave),101,,Hollis,2553,0.82093879,3109.854268
East New York and Starrett City (CD5),100,,Homecrest,4247,1.07574806,3947.950415
East Tremont,100,,Hudson Yards-Chelsea-Flatiron-Union Square,2988,1.32906633,2248.194791
East Village,98,,Hunters Point-Sunnyside-West Maspeth,5242,3.67377812,1426.868969
East Williamsburg,100,,Hunts Point,3521,1.78239745,1975.429218
Eastchester-Edenwald-Baychester,100,,Jackson Heights,6863,1.7166807,3997.831396
Elmhurst,101,,Jamaica,4252,1.69685432,2505.813227
Elmhurst and Corona (CD4),101,,Jamaica Estates-Holliswood,4254,1.53478301,2771.727321
Elmhurst-Maspeth,100,,Kensington-Ocean Parkway,2295,0.57006219,4025.876545
Erasmus,99,,Kew Gardens,2024,0.73329897,2760.129337
Far Rockaway-Bayswater,96,,Kew Gardens Hills,5088,1.35866904,3744.841349
Financial District (CD1),94,,Kingsbridge Heights,1184,0.47213482,2507.758271
Flatbush,97,,Laurelton,4623,1.42713913,3239.347799
Flatbush and Midwood (CD14),99,,Lenox Hill-Roosevelt Island,2327,0.77147115,3016.314998
Flatlands,101,,Lincoln Square,2065,0.56692663,3642.446643
Flatlands and Canarsie (CD18),98,,Lindenwood-Howard Beach,4627,2.31506342,1998.64935
Flushing,100,,Longwood,1572,0.38495165,4083.629723
Flushing - Clearview,99,,Lower East Side,1943,0.83571008,2324.968965
Flushing and Whitestone (CD7),99,,Madison,3644,0.98203594,3710.658492
Fordham - Bronx Pk,96,,Manhattanville,913,0.38503604,2371.206602
Fordham and University Heights (CD5),98,,Marble Hill-Inwood,1754,0.6373809,2751.886666
Fordham South,98,,Mariner's Harbor-Arlington-Port Ivory-Graniteville,3776,3.20885468,1176.743847
Forest Hills,99,,Maspeth,3290,1.27808856,2574.15652
Fort Greene,98,,Melrose South-Mott Haven North,2156,0.61950373,3480.205034
Fort Greene and Brooklyn Heights (CD2),98,,Middle Village,5345,2.06905841,2583.300681
Fresh Meadows,99,,Midtown-Midtown South,1196,1.08290091,1104.440849
Fresh Meadows-Utopia,100,,Midwood,4860,1.28405937,3784.871723
Ft. Totten-Bay Terrace-Clearview,98,,Morningside Heights,2751,0.72288172,3805.601835
Georgetown-Marine Park-Bergen Beach-Mill Basin,99,,Morrisania-Melrose,2330,0.6058735,3845.68726
Glen Oaks-Floral Park-New Hyde Park,100,,Mott Haven-Port Morris,2517,1.50281971,1674.851603
Glendale,98,,Mount Hope,2051,0.52785907,3885.506789
Gramercy,100,,Murray Hill,7133,1.88264983,3788.808671
Gramercy Park - Murray Hill,98,,Murray Hill-Kips Bay,1746,0.51862945,3366.565474
Grasmere-Arrochar-Ft. Wadsworth,95,,New Brighton-Silver Lake,3539,1.69068541,2093.233891
Gravesend,97,,New Dorp-Midland Beach,5452,1.98881643,2741.328922
Great Kills,99,,New Springville-Bloomfield-Travis,8446,11.7358136,719.6774155
Greenpoint,99,,North Corona,2264,0.64576357,3505.9271
Greenpoint,100,,North Riverdale-Fieldston-Riverdale,2019,1.75926395,1147.639045
Greenpoint and Williamsburg (CD1),100,,North Side-South Side,3484,1.03522747,3365.443925
Greenwich Village - SoHo,98,,Norwood,1981,0.56402181,3512.275527
Greenwich Village and Soho (CD2),98,,Oakland Gardens,6059,1.8295823,3311.684858
Grymes Hill-Clifton-Fox Hills,95,,Oakwood-Oakwood Beach,5675,2.00631362,2828.57074
Hamilton Heights,95,,Ocean Hill,2340,0.72058503,3247.361384
Hammels-Arverne-Edgemere,94,,Ocean Parkway South,2537,0.63780831,3977.684141
High Bridge - Morrisania,99,,Old Astoria,1341,0.56027461,2393.46916
Highbridge,98,,Old Town-Dongan Hills-South Beach,4952,2.40358599,2060.254978
Highbridge and Concourse (CD4),98,,Ozone Park,3244,0.8973017,3615.283466
Hillcrest and Fresh Meadows (CD8),99,,Park Slope-Gowanus,6314,1.52457703,4141.476538
Hollis,102,,Parkchester,790,0.32942377,2398.126887
Homecrest,100,,Pelham Bay-Country Club-City Island,3196,1.44242857,2215.707638
Hudson Yards-Chelsea-Flatiron-Union Square,99,,Pelham Parkway,2312,0.82571261,2800.005682
Hunters Point-Sunnyside-West Maspeth,99,,Pomonok-Flushing Heights-Hillcrest,4985,1.39296701,3578.692075
Hunts Point,100,,Port Richmond,3084,1.30622263,2361.006408
Hunts Point - Mott Haven,101,,Prospect Heights,1535,0.36705461,4181.939031
Hunts Point and Longwood (CD2),101,,Prospect Lefferts Gardens-Wingate,3169,1.13480755,2792.543987
Jackson Heights,99,,Queens Village,6856,2.49405894,2748.932629
Jackson Heights (CD3),100,,Queensboro Hill,3020,0.95200614,3172.248448
Jamaica,103,,Queensbridge-Ravenswood-Long Island City,1366,0.83618876,1633.602442
Jamaica,101,,Rego Park,2460,0.71527494,3439.236946
Jamaica and Hollis (CD12),102,,Richmond Hill,5101,1.8284934,2789.728418
Jamaica Estates-Holliswood,98,,Ridgewood,6481,1.81116125,3578.367194
Kensington-Ocean Parkway,98,,Rosedale,5372,2.20837387,2432.559121
Kew Gardens,98,,Rossville-Woodrow,9251,2.33014318,3970.142298
Kew Gardens and Woodhaven (CD9),101,,Rugby-Remsen Village,3312,1.17307846,2823.340563
Kew Gardens Hills,100,,Schuylerville-Throgs Neck-Edgewater Park,5023,3.17190875,1583.589061
Kingsbridge - Riverdale,92,,Seagate-Coney Island,1454,1.39033471,1045.79134
Kingsbridge Heights,97,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,5321,2.27244908,2341.526614
Kingsbridge Heights and Bedford (CD7),97,,SoHo-TriBeCa-Civic Center-Little Italy,2215,0.89787231,2466.943212
Laurelton,102,,Soundview-Bruckner,1921,0.58303247,3294.842224
Lenox Hill-Roosevelt Island,96,,Soundview-Castle Hill-Clason Point-Harding Park,3819,1.86449384,2048.277081
Lincoln Square,96,,South Jamaica,4077,1.43371337,2843.66463
Lindenwood-Howard Beach,97,,South Ozone Park,7321,2.95772574,2475.212594
Long Island City - Astoria,99,,Springfield Gardens North,2967,1.01965096,2909.819258
Long Island City and Astoria (CD1),99,,Springfield Gardens South-Brookville,3754,1.5526347,2417.825648
Longwood,101,,Spuyten Duyvil-Kingsbridge,2017,0.8326439,2422.404103
Lower East Side,97,,St. Albans,7239,2.77664088,2607.107045
