Geography,Heat_Index_1to5,Trees_Per_Sq_Mi
University Heights-Morris Heights,5,2625.946155
Upper East Side-Carnegie Hill,1,6492.941687
Upper West Side,1,4769.126087
Van Cortlandt Village,3,2605.929854
Van Nest-Morris Park-Westchester Square,4,2412.641572
Washington Heights North,1,3300.798252
Washington Heights South,2,3604.483519
West Brighton,2,1534.573103
West Concourse,5,3083.635049
West Farms-Bronx River,4,2999.750372
West New Brighton-New Brighton-St. George,3,1975.484978
West Village,1,4298.558444
Westchester-Unionport,4,3283.383484
Westerleigh,1,2183.407817
Whitestone,1,3076.705291
Williamsbridge-Olinville,5,2590.828463
Williamsburg,5,3988.490343
Windsor Terrace,1,4546.838723
Woodhaven,3,3207.013996
Woodlawn-Wakefield,4,2864.567138
Woodside,3,2703.28637
Yorkville,1,4634.99307
